TimeCoordinate,Channel_1,Channel_2,Label
17,0.48,0.5279,Extension
18,0.5318,0.6061,Extension
19,0.5415,0.6149,Extension
-,-,-,-
0,0.5034,0.5425,Extension
1,0.4643,0.4995,Extension
2,0.4878,0.4604,Extension
3,0.5464,0.6061,Extension
4,0.6774,0.7693,Extension
5,0.6432,0.7468,Extension
6,0.565,0.6686,Extension
7,0.5249,0.5894,Extension
8,0.4633,0.4721,Extension
9,0.4213,0.4301,Extension
10,0.4653,0.5064,Extension
11,0.5249,0.5865,Extension
12,0.5855,0.65,Extension
13,0.567,0.651,Extension
14,0.4848,0.5308,Extension
15,0.4272,0.437,Extension
16,0.4311,0.4477,Extension
17,0.4721,0.5024,Extension
18,0.5318,0.5982,Extension
19,0.5709,0.6588,Extension
-,-,-,-
0,0.5288,0.5992,Extension
1,0.4575,0.4907,Extension
2,0.4497,0.4858,Extension
3,0.4633,0.478,Extension
4,0.4946,0.5308,Extension
5,0.5513,0.6207,Extension
6,0.5239,0.5787,Extension
7,0.5308,0.609,Extension
8,0.5415,0.6012,Extension
9,0.5435,0.5826,Extension
10,0.4995,0.567,Extension
11,0.5406,0.6041,Extension
12,0.5337,0.566,Extension
13,0.4966,0.5494,Extension
14,0.5015,0.5601,Extension
15,0.4976,0.5503,Extension
16,0.5015,0.5523,Extension
17,0.5142,0.5758,Extension
18,0.4868,0.5327,Extension
19,0.4731,0.5093,Extension
-,-,-,-
0,0.4897,0.5367,Extension
1,0.4995,0.5503,Extension
2,0.5161,0.5758,Extension
3,0.5239,0.5816,Extension
4,0.4868,0.5406,Extension
5,0.4751,0.5152,Extension
6,0.4692,0.5288,Extension
7,0.479,0.522,Extension
8,0.5122,0.5679,Extension
9,0.521,0.5963,Extension
10,0.5728,0.7615,Extension
11,0.61,0.6725,Extension
12,0.5337,0.5973,Extension
13,0.4936,0.5464,Extension
14,0.5064,0.5611,Extension
15,0.5425,0.6002,Extension
16,0.5171,0.5679,Extension
17,0.5152,0.564,Extension
18,0.5044,0.5533,Extension
19,0.4731,0.4985,Extension
-,-,-,-
0,0.4809,0.5161,Extension
1,0.5044,0.5533,Extension
2,0.5112,0.565,Extension
3,0.5259,0.5875,Extension
4,0.5093,0.567,Extension
5,0.479,0.5161,Extension
6,0.4809,0.5357,Extension
