TimeCoordinate,Channel_1,Channel_2,Flexion
14,0.3226,0.305,Flexion

15,0.2942,0.2669,Flexion

16,0.2913,0.261,Flexion

17,0.3206,0.3001,Flexion

18,0.3754,0.346,Flexion

19,0.435,0.4516,Flexion

-,-,-,-

0,0.5982,0.6383,Flexion

1,0.7263,0.7546,Flexion

2,0.696,0.7283,Flexion

3,0.4653,0.4242,Flexion

4,0.3539,0.3294,Flexion

5,0.3157,0.2717,Flexion

6,0.3177,0.2805,Flexion

7,0.3372,0.3138,Flexion

8,0.3861,0.3734,Flexion

9,0.437,0.4194,Flexion

10,0.4633,0.4643,Flexion

11,0.4673,0.4663,Flexion

12,0.437,0.4301,Flexion

13,0.3949,0.3891,Flexion

14,0.3587,0.3402,Flexion

15,0.3343,0.3167,Flexion

16,0.3236,0.3021,Flexion

17,0.35,0.3196,Flexion

18,0.3715,0.349,Flexion

19,0.4057,0.391,Flexion

-,-,-,-

0,0.4536,0.4409,Flexion

1,0.6158,0.6696,Flexion

2,0.7331,0.8221,Flexion

3,0.8671,0.7634,Flexion

4,0.4497,0.4223,Flexion

5,0.349,0.3148,Flexion

6,0.346,0.3099,Flexion

7,0.3685,0.3421,Flexion

8,0.3685,0.3578,Flexion

9,0.3851,0.3695,Flexion

10,0.3881,0.3675,Flexion

11,0.3822,0.3636,Flexion

12,0.3744,0.3597,Flexion

13,0.3685,0.3578,Flexion

14,0.3715,0.3558,Flexion

15,0.3822,0.3519,Flexion

16,0.3773,0.3715,Flexion

17,0.3666,0.348,Flexion

18,0.3754,0.3539,Flexion

19,0.3529,0.3382,Flexion

-,-,-,-

0,0.3431,0.3284,Flexion

1,0.35,0.3275,Flexion

2,0.3568,0.3372,Flexion

3,0.3646,0.35,Flexion

4,0.3734,0.3636,Flexion

5,0.3871,0.3646,Flexion

6,0.391,0.3666,Flexion

7,0.3988,0.3539,Flexion

8,0.5875,0.5953,Flexion

9,0.6178,0.6051,Flexion

10,0.4389,0.4154,Flexion

11,0.35,0.3021,Flexion

12,0.3509,0.3128,Flexion

13,0.3675,0.3402,Flexion

14,0.3851,0.3568,Flexion

15,0.3969,0.3842,Flexion

16,0.4008,0.3851,Flexion

17,0.3851,0.3675,Flexion

18,0.3666,0.3451,Flexion

19,0.3627,0.3314,Flexion

-,-,-,-

0,0.3392,0.3118,Flexion

1,0.3441,0.3196,Flexion

2,0.3558,0.3314,Flexion

3,0.3597,0.347,Flexion

4,0.3783,0.3597,Flexion

5,0.3734,0.3597,Flexion

6,0.3763,0.3587,Flexion

7,0.5112,0.4819,Flexion

8,0.6178,0.6657,Flexion

9,0.741,0.7977,Flexion

10,0.4643,0.3715,Flexion

11,0.3578,0.3245,Flexion

12,0.3715,0.3431,Flexion

13,0.3734,0.3587,Flexion

14,0.3773,0.3695,Flexion

15,0.393,0.3715,Flexion

16,0.3812,0.3617,Flexion

17,0.3754,0.3617,Flexion

18,0.3656,0.3451,Flexion

19,0.3568,0.3382,Flexion

-,-,-,-

0,0.3529,0.3275,Flexion

1,0.3529,0.3333,Flexion

2,0.35,0.3284,Flexion

3,0.3548,0.3382,Flexion

4,0.3539,0.3314,Flexion

5,0.3617,0.3363,Flexion

6,0.3685,0.3382,Flexion

7,0.3822,0.3675,Flexion

8,0.5601,0.5914,Flexion

9,0.6774,0.8152,Flexion

10,0.4438,0.4164,Flexion

11,0.3656,0.3167,Flexion

12,0.3431,0.3109,Flexion

13,0.3314,0.306,Flexion

14,0.3402,0.305,Flexion

15,0.3324,0.3138,Flexion

16,0.3783,0.3607,Flexion

17,0.3822,0.3724,Flexion

18,0.4047,0.4047,Flexion

19,0.4154,0.3988,Flexion

-,-,-,-

0,0.391,0.3763,Flexion

1,0.348,0.3255,Flexion

2,0.3255,0.2874,Flexion

3,0.2854,0.2375,Flexion

4,0.2991,0.2493,Flexion

5,0.3441,0.2835,Flexion

6,0.5846,0.5005,Flexion

7,0.6911,0.7869,Flexion

8,0.5621,0.5337,Flexion

9,0.4506,0.4047,Flexion

10,0.4174,0.3842,Flexion

11,0.3636,0.3392,Flexion

12,0.3255,0.2942,Flexion

13,0.2825,0.2444,Flexion

14,0.2796,0.2454,Flexion

15,0.3148,0.2737,Flexion

16,0.3568,0.3372,Flexion

17,0.4066,0.3949,Flexion

18,0.434,0.4252,Flexion

19,0.437,0.434,Flexion

-,-,-,-

0,0.4154,0.4008,Flexion

1,0.3597,0.3382,Flexion

2,0.3128,0.2942,Flexion

3,0.2815,0.2532,Flexion

4,0.2845,0.2444,Flexion

5,0.2991,0.26,Flexion

6,0.3783,0.3236,Flexion

7,0.5445,0.4751,Flexion

8,0.7537,0.8534,Flexion

9,0.652,0.7028,Flexion

10,0.4624,0.4184,Flexion

11,0.4018,0.3656,Flexion

12,0.348,0.303,Flexion

13,0.3177,0.2942,Flexion

14,0.3109,0.2737,Flexion

15,0.3226,0.2952,Flexion

16,0.3763,0.3548,Flexion

17,0.3842,0.3773,Flexion

18,0.4135,0.3939,Flexion

19,0.4018,0.392,Flexion

-,-,-,-

0,0.3871,0.3685,Flexion

1,0.3695,0.3402,Flexion

2,0.3412,0.3206,Flexion

3,0.3284,0.2913,Flexion

4,0.3343,0.2981,Flexion

5,0.3382,0.3079,Flexion

6,0.3451,0.305,Flexion

7,0.4438,0.4448,Flexion

8,0.6442,0.6403,Flexion

9,0.6276,0.7263,Flexion

10,0.5181,0.48,Flexion

11,0.3783,0.3157,Flexion

12,0.3441,0.2972,Flexion

13,0.3421,0.305,Flexion

14,0.348,0.3079,Flexion

15,0.3597,0.3275,Flexion

16,0.3382,0.3236,Flexion

17,0.3236,0.3001,Flexion

18,0.3314,0.2991,Flexion

19,0.3138,0.2884,Flexion

-,-,-,-

0,0.3255,0.2952,Flexion

1,0.3353,0.3109,Flexion

2,0.3421,0.3284,Flexion

3,0.349,0.3294,Flexion

4,0.3568,0.3392,Flexion

5,0.348,0.3255,Flexion

6,0.3343,0.3079,Flexion

7,0.3128,0.2893,Flexion

8,0.3069,0.2845,Flexion

9,0.3226,0.2796,Flexion

10,0.4018,0.3793,Flexion

11,0.6158,0.6598,Flexion

12,0.5034,0.4721,Flexion

13,0.3724,0.35,Flexion

14,0.3685,0.3343,Flexion

15,0.3578,0.3265,Flexion

16,0.3392,0.303,Flexion

17,0.3333,0.2991,Flexion

18,0.3157,0.2854,Flexion

19,0.3294,0.2933,Flexion

-,-,-,-

0,0.3304,0.305,Flexion

1,0.3421,0.3109,Flexion

2,0.3578,0.3216,Flexion

3,0.3587,0.3343,Flexion

4,0.3597,0.3343,Flexion

5,0.3597,0.3275,Flexion

6,0.3324,0.3001,Flexion

7,0.3363,0.2991,Flexion

8,0.3148,0.2845,Flexion

9,0.3206,0.2825,Flexion

10,0.3803,0.3627,Flexion

11,0.6109,0.6618,Flexion

12,0.5855,0.7674,Flexion

13,0.4692,0.5122,Flexion

14,0.3666,0.3236,Flexion

15,0.3539,0.3196,Flexion

