TimeCoordinate,Channel_1,Channel_2,Extension
3,0.3724,0.3148,Extension

4,0.4076,0.3392,Extension

5,0.4721,0.4282,Extension

6,0.5543,0.4995,Extension

7,0.6706,0.6031,Extension

8,0.6637,0.6217,Extension

9,0.5992,0.5699,Extension

10,0.5415,0.4936,Extension

11,0.478,0.4164,Extension

12,0.4164,0.3597,Extension

13,0.4037,0.3353,Extension

14,0.4145,0.3558,Extension

15,0.4624,0.4066,Extension

16,0.522,0.479,Extension

17,0.5806,0.5435,Extension

18,0.5992,0.564,Extension

19,0.5875,0.5513,Extension

-,-,-,-

0,0.5621,0.522,Extension

1,0.4917,0.4487,Extension

2,0.4428,0.3998,Extension

3,0.4301,0.3763,Extension

4,0.4389,0.3822,Extension

5,0.5083,0.4673,Extension

6,0.6344,0.5601,Extension

7,0.7263,0.5894,Extension

8,0.6295,0.563,Extension

9,0.5846,0.5161,Extension

10,0.5269,0.4653,Extension

11,0.478,0.4233,Extension

12,0.4731,0.4242,Extension

13,0.4633,0.4213,Extension

14,0.4731,0.4262,Extension

15,0.4936,0.4428,Extension

16,0.5122,0.4575,Extension

17,0.5161,0.4712,Extension

18,0.5044,0.4604,Extension

19,0.5122,0.4633,Extension

-,-,-,-

0,0.5054,0.4477,Extension

1,0.4868,0.4575,Extension

2,0.4917,0.4418,Extension

3,0.5005,0.4682,Extension

4,0.5093,0.4712,Extension

5,0.5152,0.4751,Extension

6,0.5152,0.4565,Extension

7,0.5279,0.4477,Extension

8,0.5484,0.4565,Extension

9,0.5963,0.5543,Extension

10,0.4976,0.4604,Extension

11,0.5122,0.4555,Extension

12,0.5152,0.4819,Extension

13,0.5279,0.4751,Extension

14,0.5308,0.478,Extension

15,0.521,0.4663,Extension

16,0.4936,0.4301,Extension

17,0.4712,0.4057,Extension

18,0.4712,0.4066,Extension

19,0.4545,0.4086,Extension

-,-,-,-

0,0.4927,0.436,Extension

1,0.5152,0.4702,Extension

2,0.5386,0.4907,Extension

3,0.5386,0.4917,Extension

4,0.5367,0.4809,Extension

5,0.5122,0.4624,Extension

6,0.5005,0.4379,Extension

7,0.5044,0.435,Extension

8,0.5367,0.4594,Extension

9,0.5709,0.5386,Extension

10,0.5924,0.4956,Extension

11,0.5367,0.479,Extension

12,0.5308,0.48,Extension

13,0.5347,0.4829,Extension

14,0.5337,0.478,Extension

15,0.5093,0.4536,Extension

16,0.4878,0.433,Extension

17,0.4907,0.4291,Extension

18,0.477,0.4272,Extension

19,0.4839,0.4311,Extension

-,-,-,-

0,0.5073,0.4585,Extension

1,0.5288,0.4848,Extension

2,0.5445,0.5093,Extension

