train_loss,epoch,step,val_loss
0.7336974712088704,0,0,
0.6922959601506591,0,1,
0.6968937148340046,0,2,
0.7118889749981463,0,3,
0.7204761998727918,0,4,
0.7225947859697044,0,5,
0.6908301147632301,0,6,
0.6943913465365767,0,7,
0.7010347451034344,0,8,
,0,8,0.6850764965338092
0.6934356677811593,1,9,
0.699167670449242,1,10,
0.6899130926467478,1,11,
0.7023568358272314,1,12,
0.6915724005084485,1,13,
0.6974228285253048,1,14,
0.7071337084053084,1,15,
0.693123328499496,1,16,
0.6897808772168661,1,17,
,1,17,0.6867181694796008
0.693840799620375,2,18,
0.6859918578993529,2,19,
0.6891735531389713,2,20,
0.6883534733206034,2,21,
0.6871662342455238,2,22,
0.6848772400990129,2,23,
0.6834932817146182,2,24,
0.6822100942954421,2,25,
0.6772259811037464,2,26,
,2,26,0.6889180656402342
0.6785889053717256,3,27,
0.6818705657497048,3,28,
0.6801009844057262,3,29,
0.6734993434511125,3,30,
0.6645559340249747,3,31,
0.6836769147776067,3,32,
0.6705111130140722,3,33,
0.6648876036051661,3,34,
0.6844826074022995,3,35,
,3,35,0.6952852779819119
0.646690122783184,4,36,
0.6678639994934201,4,37,
0.6873084977269173,4,38,
0.600504107773304,4,39,
0.6651465902104974,4,40,
0.6314688478596509,4,41,
0.6644620392471552,4,42,
0.6665573641657829,4,43,
0.7676745104162316,4,44,
,4,44,0.7005949385704533
0.7292650323361158,5,45,
0.58966164290905,5,46,
0.7144833188503981,5,47,
0.6086793448776007,5,48,
0.6393231395632029,5,49,
0.598383691161871,5,50,
0.6280774041078985,5,51,
0.632493169978261,5,52,
0.588833517149875,5,53,
,5,53,0.6692752030587965
0.6965587954036891,6,54,
0.6242857440374792,6,55,
0.5874512419104576,6,56,
0.5668683899566531,6,57,
0.6182708358392119,6,58,
0.5476152612827718,6,59,
0.5814054976217449,6,60,
0.6188421668484807,6,61,
0.5112106031493137,6,62,
,6,62,0.6130398790682515
0.5281012114137411,7,63,
0.6643292950466275,7,64,
0.5056568346917629,7,65,
0.5980192911811173,7,66,
0.5127384182997048,7,67,
0.4655911603476852,7,68,
0.5061792554333806,7,69,
0.45341841969639063,7,70,
0.5003083426701395,7,71,
,7,71,0.5134639028579958
0.5249102497473359,8,72,
0.43991029914468527,8,73,
0.4069738616235554,8,74,
0.4277321770787239,8,75,
