train_loss,epoch,step,val_loss,val_acc,test_loss,test_acc
0.7679496929049492,0,0,,,,
0.7290078923106194,0,1,,,,
0.6495633609592915,0,2,,,,
0.7145624356344342,0,3,,,,
0.6947501208633184,0,4,,,,
0.699738709256053,0,5,,,,
0.7083820048719645,0,6,,,,
0.7185996863991022,0,7,,,,
0.7355768047273159,0,8,,,,
0.73917181417346,0,9,,,,
0.7085998964030296,0,10,,,,
0.6909924973733723,0,11,,,,
0.7400954167048136,0,12,,,,
,0,12,0.6721036432683468,0.5,,
0.6702267373912036,1,13,,,,
0.6901955250650644,1,14,,,,
0.6810985407792032,1,15,,,,
0.6813286384567618,1,16,,,,
0.6681592860259116,1,17,,,,
0.6499839199241251,1,18,,,,
0.6651936958078295,1,19,,,,
0.6573112569749355,1,20,,,,
0.6510253278538585,1,21,,,,
0.6359552037902176,1,22,,,,
0.6404000106267631,1,23,,,,
0.6424325357656926,1,24,,,,
0.669970432917277,1,25,,,,
,1,25,0.645399866104126,0.5,,
0.6541779641993344,2,26,,,,
0.6260118416976184,2,27,,,,
0.6337681603617966,2,28,,,,
0.6378865828737617,2,29,,,,
0.6229579406790435,2,30,,,,
0.6273668319918215,2,31,,,,
0.6160690262913704,2,32,,,,
0.630016015842557,2,33,,,,
0.6233375743031502,2,34,,,,
0.6052178291138262,2,35,,,,
0.6139386375434697,2,36,,,,
0.5714519843459129,2,37,,,,
0.6679456693430741,2,38,,,,
,2,38,0.613296682536602,0.5,,
0.6051888156216592,3,39,,,,
0.6243424639105797,3,40,,,,
0.5903390217572451,3,41,,,,
0.5851316936314106,3,42,,,,
0.582004071213305,3,43,,,,
0.5988001525402069,3,44,,,,
0.5940343085676432,3,45,,,,
0.5652939490973949,3,46,,,,
0.5846416354179382,3,47,,,,
0.5879768095910549,3,48,,,,
0.5938770547509193,3,49,,,,
0.5691557712852955,3,50,,,,
0.5805767675240834,3,51,,,,
,3,51,0.5835289252549409,0.5,,
0.5766627490520477,4,52,,,,
0.5505974423140287,4,53,,,,
0.5810994692146778,4,54,,,,
0.5706544872373343,4,55,,,,
0.5433937385678291,4,56,,,,
0.5262153949588537,4,57,,,,
0.5817884411662817,4,58,,,,
0.6016854103654623,4,59,,,,
0.5519210584461689,4,60,,,,
0.5465059857815504,4,61,,,,
0.5797149911522865,4,62,,,,
0.5546110589057207,4,63,,,,
0.5972188115119934,4,64,,,,
,4,64,0.5574789123982191,0.5,,
0.5765734724700451,5,65,,,,
0.5520514883100986,5,66,,,,
0.5753563847392797,5,67,,,,
0.5600312408059835,5,68,,,,
0.5391121432185173,5,69,,,,
0.5394872557371855,5,70,,,,
0.5236822105944157,5,71,,,,
0.5297286566346884,5,72,,,,
0.5196061171591282,5,73,,,,
0.5161510687321424,5,74,,,,
0.5336730927228928,5,75,,,,
0.5300545170903206,5,76,,,,
0.5544099112351735,5,77,,,,
,5,77,0.5247732019424438,1.0,,
0.5259757991880178,6,78,,,,
0.4940965250134468,6,79,,,,
0.5170421432703733,6,80,,,,
0.4849734716117382,6,81,,,,
0.4685589727014303,6,82,,,,
0.5083102416247129,6,83,,,,
0.5110910199582577,6,84,,,,
0.5027977619320154,6,85,,,,
0.5462520588189363,6,86,,,,
0.4688637647777796,6,87,,,,
0.5249829199165106,6,88,,,,
0.5129329394549131,6,89,,,,
0.46680495142936707,6,90,,,,
,6,90,0.4981760889291763,1.0,,
0.45338270626962185,7,91,,,,
0.48864053934812546,7,92,,,,
0.48603666946291924,7,93,,,,
0.4902232214808464,7,94,,,,
0.4672733023762703,7,95,,,,
