train_loss,epoch,step,test_loss,test_acc
0.6897786129266024,0,0,,
0.7405501157045364,0,1,,
0.6885659135878086,0,2,,
0.7555659376084805,0,3,,
0.7209073062986135,0,4,,
0.6545581854879856,0,5,,
0.687041200697422,0,6,,
0.7025534566491842,0,7,,
0.6545285116881132,0,8,,
0.717601478099823,0,9,,
0.6855006646364927,0,10,,
0.7168427892029285,0,11,,
0.7003884930163622,0,12,,
0.6841484354808927,0,13,,
0.7305764360353351,0,14,,
0.6987177971750498,0,15,,
0.6832647332921624,1,16,,
0.6828494584187865,1,17,,
0.7574827466160059,1,18,,
0.7416897024959326,1,19,,
0.710809557698667,1,20,,
0.6379968309774995,1,21,,
0.7382181063294411,1,22,,
0.7091429233551025,1,23,,
0.666621120646596,1,24,,
0.707249172963202,1,25,,
0.6936274832114577,1,26,,
0.6795549718663096,1,27,,
0.6522041028365493,1,28,,
0.6656487453728914,1,29,,
0.6913751140236855,1,30,,
0.6902921181172132,1,31,,
0.7039884645491838,2,32,,
0.676308342255652,2,33,,
0.6630037035793066,2,34,,
0.7024864247068763,2,35,,
0.7277759024873376,2,36,,
0.6749479146674275,2,37,,
0.7127574039623141,2,38,,
0.7253731396049261,2,39,,
0.6746085034683347,2,40,,
0.7110034646466374,2,41,,
0.6970211965963244,2,42,,
0.6139165395870805,2,43,,
0.6721944380551577,2,44,,
0.6727628754451871,2,45,,
0.6707675270736217,2,46,,
0.683037456125021,2,47,,
0.6706903921440244,3,48,,
0.7058004569262266,3,49,,
0.6819188296794891,3,50,,
0.6661634827032685,3,51,,
0.6684206137433648,3,52,,
0.690770698711276,3,53,,
0.6689627952873707,3,54,,
0.655819428153336,3,55,,
0.6646476807072759,3,56,,
0.6674014525488019,3,57,,
0.6874806731939316,3,58,,
0.6491334792226553,3,59,,
0.7090250123292208,3,60,,
0.6731024319306016,3,61,,
0.6947109866887331,3,62,,
0.6711986437439919,3,63,,
0.7028816263191402,4,64,,
0.6585285952314734,4,65,,
0.6470744563266635,4,66,,
0.6684413882903755,4,67,,
0.7061527483165264,4,68,,
0.6852769735269248,4,69,,
0.6642603077925742,4,70,,
0.6435512457974255,4,71,,
0.6451193862594664,4,72,,
0.6604435141198337,4,73,,
0.6511315717361867,4,74,,
0.6483576237224042,4,75,,
0.6461513126268983,4,76,,
0.6538244113326073,4,77,,
0.6445977059192955,4,78,,
0.6703794384375215,4,79,,
0.6477457392029464,5,80,,
0.6649138554930687,5,81,,
0.6298534767702222,5,82,,
0.6467601475305855,5,83,,
0.6074438905343413,5,84,,
0.6311266738921404,5,85,,
0.6397958025336266,5,86,,
0.6529966052621603,5,87,,
0.6515722684562206,5,88,,
0.6036887895315886,5,89,,
0.6040943562984467,5,90,,
0.6048497632145882,5,91,,
0.6093875654041767,5,92,,
0.600624818354845,5,93,,
0.590450644493103,5,94,,
0.6258895918726921,5,95,,
0.5820121616125107,6,96,,
0.56362384557724,6,97,,
0.58303427323699,6,98,,
0.5586711671203375,6,99,,
0.5570148713886738,6,100,,
0.5483835935592651,6,101,,
0.5290874391794205,6,102,,
0.5257119797170162,6,103,,
0.5297065377235413,6,104,,
0.5100772846490145,6,105,,
0.5040766820311546,6,106,,
0.493214288726449,6,107,,
0.48085854202508926,6,108,,
0.47179466113448143,6,109,,
0.4752221032977104,6,110,,
0.45188498869538307,6,111,,
